file,pages,chars,chars_per_page,empty_frac,class,note
КР297_2.pdf,83,118432,1426.9,0.0,OK,
КР704_2.pdf,30,42808,1426.9,0.033,OK,
КР794_1.pdf,47,67115,1428.0,0.021,OK,
КР116_2.pdf,67,95786,1429.6,0.03,OK,
КР881_1.pdf,98,140115,1429.7,0.0,OK,
КР385_3.pdf,68,97365,1431.8,0.0,OK,
КР553_2.pdf,91,130325,1432.1,0.033,OK,
КР885_1.pdf,54,77365,1432.7,0.019,OK,
КР1027_1.pdf,60,86052,1434.2,0.017,OK,
КР354_2.pdf,70,100404,1434.3,0.014,OK,
КР375_3.pdf,66,94705,1434.9,0.015,OK,
КР340_2.pdf,68,97610,1435.4,0.059,OK,
КР406_3.pdf,71,101950,1435.9,0.0,OK,
КР35_2.pdf,69,99093,1436.1,0.029,OK,
КР448_4.pdf,127,182678,1438.4,0.016,OK,
КР360_3.pdf,45,64742,1438.7,0.0,OK,
КР388_3.pdf,70,100746,1439.2,0.029,OK,
КР865_1.pdf,39,56129,1439.2,0.0,OK,
КР1036_1.pdf,55,79253,1441.0,0.018,OK,
КР807_1.pdf,80,115400,1442.5,0.013,OK,
КР825_1.pdf,34,49051,1442.7,0.0,OK,
КР139_2.pdf,141,203440,1442.8,0.007,OK,
КР644_2.pdf,62,89451,1442.8,0.0,OK,
КР1012_1.pdf,48,69265,1443.0,0.062,OK,
КР735_1.pdf,69,99632,1443.9,0.043,OK,
КР628_2.pdf,75,108375,1445.0,0.0,OK,
КР1018_1.pdf,55,79487,1445.2,0.091,OK,
КР238_2.pdf,55,79485,1445.2,0.0,OK,
КР890_1.pdf,37,53479,1445.4,0.027,OK,
КР822_1.pdf,32,46280,1446.2,0.0,OK,
КР329_2.pdf,71,102703,1446.5,0.0,OK,
КР910_1.pdf,65,94043,1446.8,0.0,OK,
КР294_2.pdf,77,111500,1448.1,0.013,OK,
КР4_2.pdf,90,130466,1449.6,0.022,OK,
КР673_2.pdf,57,82641,1449.8,0.0,OK,
КР838_1.pdf,80,115988,1449.8,0.013,OK,
КР780_1.pdf,125,181304,1450.4,0.064,OK,
КР772_1.pdf,40,58074,1451.8,0.0,OK,
КР456_3.pdf,140,203427,1453.0,0.021,OK,
КР306_3.pdf,55,79953,1453.7,0.018,OK,
КР840_1.pdf,76,110482,1453.7,0.013,OK,
КР979_1.pdf,50,72700,1454.0,0.04,OK,
КР661_2.pdf,43,62544,1454.5,0.0,OK,
КР856_1.pdf,67,97520,1455.5,0.0,OK,
КР804_1.pdf,41,59685,1455.7,0.0,OK,
КР893_1.pdf,65,94707,1457.0,0.015,OK,
КР482_2.pdf,129,188027,1457.6,0.008,OK,
КР25_2.pdf,44,64145,1457.8,0.023,OK,
КР767_1.pdf,76,110810,1458.0,0.0,OK,
КР246_3.pdf,56,81705,1459.0,0.0,OK,
КР179_3.pdf,55,80255,1459.2,0.0,OK,
